feature_set,position,feature,feature_group,selection_reason,available,eligible,drop_reason
pre_lineup_compact_40,1,home,game_context,"Home court can affect opportunity, rotation, and efficiency.",True,True,
pre_lineup_compact_40,2,guard,player_profile,Position flag helps the model separate guard-style fantasy production.,True,True,
pre_lineup_compact_40,3,forward,player_profile,Position flag helps the model separate forward-style fantasy production.,True,True,
pre_lineup_compact_40,4,center,player_profile,Position flag helps the model separate center-style fantasy production.,True,True,
pre_lineup_compact_40,5,years_since_draft,player_profile,Experience is a stable proxy for role and career stage.,True,True,
pre_lineup_compact_40,6,days_since_last_game,rest_context,Rest can affect minutes and performance.,True,True,
pre_lineup_compact_40,7,is_back_to_back,rest_context,Back-to-back games can affect rotation and fatigue.,True,True,
pre_lineup_compact_40,8,fantasy_points_roll_5,recent_production,Short-term fantasy form.,True,True,
pre_lineup_compact_40,9,fantasy_points_roll_10,recent_production,Medium-term fantasy form.,True,True,
pre_lineup_compact_40,10,fantasy_points_roll_30,recent_production,Longer-term fantasy baseline.,True,True,
pre_lineup_compact_40,11,fantasy_points_momentum_5_vs_10,recent_production,Recent fantasy trend versus medium-term baseline.,True,True,
pre_lineup_compact_40,12,fantasy_points_momentum_10_vs_30,recent_production,Medium-term fantasy trend versus long-term baseline.,True,True,
pre_lineup_compact_40,13,numMinutes_roll_5,playing_time,Short-term playing-time role.,True,True,
pre_lineup_compact_40,14,numMinutes_roll_10,playing_time,Medium-term playing-time role.,True,True,
pre_lineup_compact_40,15,numMinutes_roll_30,playing_time,Longer-term playing-time baseline.,True,True,
pre_lineup_compact_40,16,current_is_starter_roll_10,starter_history,Historical starter rate without using today's lineup.,True,True,
pre_lineup_compact_40,17,starter_minutes_roll_5,starter_history,Recent minutes earned as a starter.,True,True,
pre_lineup_compact_40,18,starter_minutes_roll_10,starter_history,Medium-term starter-minute role.,True,True,
pre_lineup_compact_40,19,starter_minutes_roll_30,starter_history,Longer-term starter-minute role.,True,True,
pre_lineup_compact_40,20,starter_minutes_share_roll_10,starter_history,Share of recent minutes that came as a starter.,True,True,
pre_lineup_compact_40,21,usagePercentage_roll_5,offensive_involvement,Short-term offensive involvement.,True,True,
pre_lineup_compact_40,22,usagePercentage_roll_10,offensive_involvement,Medium-term offensive involvement.,True,True,
pre_lineup_compact_40,23,usagePercentage_roll_30,offensive_involvement,Longer-term offensive involvement baseline.,True,True,
pre_lineup_compact_40,24,usagePercentage_momentum_5_vs_10,offensive_involvement,Recent usage trend.,True,True,
pre_lineup_compact_40,25,trueShootingPercentage_roll_10,efficiency,Recent scoring efficiency.,True,True,
pre_lineup_compact_40,26,playerImpactEstimate_roll_10,advanced_player_quality,Recent all-around player impact.,True,True,
pre_lineup_compact_40,27,points_roll_10,box_score_profile,Recent scoring contribution.,True,True,
pre_lineup_compact_40,28,reboundsTotal_roll_10,box_score_profile,Recent rebounding contribution.,True,True,
pre_lineup_compact_40,29,assists_roll_10,box_score_profile,Recent playmaking contribution.,True,True,
pre_lineup_compact_40,30,turnovers_roll_10,box_score_profile,Recent negative fantasy component and ball-handling load.,True,True,
pre_lineup_compact_40,31,team_pace_roll_10,team_context,Team possession environment.,True,True,
pre_lineup_compact_40,32,team_offensiveRating_roll_10,team_context,Recent team offensive quality.,True,True,
pre_lineup_compact_40,33,team_assists_roll_10,team_context,Recent team ball movement.,True,True,
pre_lineup_compact_40,34,team_turnovers_roll_10,team_context,Recent team turnover environment.,True,True,
pre_lineup_compact_40,35,opp_pace_roll_10,opponent_context,Opponent possession environment.,True,True,
pre_lineup_compact_40,36,opp_defensiveRating_roll_10,opponent_context,Opponent defensive strength.,True,True,
pre_lineup_compact_40,37,opp_points_allowed_roll_10,opponent_context,Opponent recent scoring allowed.,True,True,
pre_lineup_compact_40,38,opp_fp_allowed_roll_10,opponent_context,Opponent recent total fantasy points allowed.,True,True,
pre_lineup_compact_40,39,opp_pos_fp_allowed_per_player_roll_30,positional_matchup,Opponent fantasy points allowed to the player's position.,True,True,
pre_lineup_compact_40,40,pos_opp_difficulty_roll_30,positional_matchup,Position-specific opponent difficulty versus league position baseline.,True,True,
lineup_aware_compact_40,1,current_is_starter,lineup_context,Known starter status for lineup-aware upper-bound experiments only.,True,True,
